id,title,genres,release_date,director,cast,vote_average,vote_count,popularity,runtime,overview,keywords,status,spoken_languages,production_companies,production_countries,budget,revenue
11,16 Blocks,"['Action', 'Adventure', 'Crime', 'Thriller']",2006-03-01,['Richard Donner'],"['Bruce Willis', 'Yasiin Bey', 'David Morse', 'Jenna Stern', 'David Zayas', 'Casey Sander', 'Cylk Cozart', 'Robert Racki', 'Patrick Garrow', 'Sasha Roiz', 'Conrad Pla', 'Hechter Ubarry', 'Richard Fitzpatrick', 'Peter McRobbie', 'Michael F. Keenan', 'Robert Clohessy', 'Tig Fong', 'David Sparrow', 'Beatriz Yuste', 'Danny Lima', 'Angela Seto']",6.2,661,32.31022,105.0,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.","['mission of murder', 'male bonding', 'doing the right thing', 'people change']",Released,['English'],"[""Donners' Company"", 'Cheyenne Enterprises', 'Alcon Entertainment', 'Nu Image Entertainment GmbH', 'Millennium Films', 'Emmett/Furla Films', 'Equity Pictures Medienfonds GmbH & Co. KG III', '16 Block Productions']","['United States of America', 'Germany']",55000000,65664721
12,17 Again,['Comedy'],2009-03-11,['Burr Steers'],"['Zac Efron', 'Leslie Mann', 'Matthew Perry', 'Tyler Steelman', 'Allison Miller', 'Michelle Trachtenberg', 'Sterling Knight', 'Thomas Lennon', 'Kat Graham', 'Tiya Sircar', 'Melissa Ordway', 'Josie Loren', 'Jim Gaffigan', 'Collette Wolfe', 'Adam Gregory', 'Hunter Parrish', 'Mario Cassem', 'Melora Hardin', 'Brian Doyle-Murray', 'Tommy Dewey', 'Lorna Scott', 'Kodi Kitchen', 'Diana Maria Riva', 'Ellis E. Williams', 'Ed Ackerman', 'Will Schaub', 'Loren Lester', 'Nicole Sullivan', 'Margaret Cho', 'Larry Poindexter', 'Bubba Lewis', 'Chris Valenti', 'G. Lane Hillman', 'Hope Riley', 'Jeanine Jackson', 'Gregory Sporleder', 'Keith Oney', 'Leonard Wu', 'Liana Blackburn', 'Lindsay Taylor', 'Shelby Rabara', 'Danielle E. Hawkins', 'Katrina Norman', 'Rhapsody Violetti', 'Tiana Brown', 'Taisha Monique Clark', 'Vanessa Lee Chester', 'Tyne Stecklein', 'Jordan Schatz']",6.1,1350,52.571674,102.0,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.","['high school', 'bullying', 'high school sports', 'fake identity', 'adult as a child', 'do over']",Released,['English'],"['New Line Cinema', 'Offspring Entertainment']",['United States of America'],20000000,136267476
13,2 Fast 2 Furious,"['Action', 'Crime', 'Thriller']",2003-06-05,['John Singleton'],"['Paul Walker', 'Tyrese Gibson', 'Eva Mendes', 'Cole Hauser', 'Ludacris', 'James Remar', 'Devon Aoki', 'Thom Barry', 'Amaury Nolasco', 'Michael Ealy', 'Jin Au-Yeung', 'Mark Boone Junior', 'Mo Gallini', ""Roberto 'Sanz' Sanchez"", 'John Cenatiempo', 'Eric Etebari', 'Neal H. Moritz', 'Edward Finlay', 'Troy Brown', 'Corey Michael Eubanks', 'Sammy Maloof', 'Troy Robinson', 'Jose Perez', 'Sincerely A. Ward', 'Nievecita Dubuque', 'Tequilla Hill', 'Bettina Huffer', 'Phuong Tuyet Vo', 'Felecia Rafield', 'Mateo Herreros', ""Walter 'Duke' Foster"", 'Zachary L. Mann', 'Kerry Rossall', 'Marc Macaulay', 'Cobette Harper', 'Limary Agosto', 'Tony Bolano', 'Tara Carroll', 'Marianne M. Arreaga', 'Tamara Jones']",6.2,2028,10.520961,107.0,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.","['miami', 'car race', 'sports car', 'los angeles', 'car', 'automobile racing']",Released,"['English', 'Español']","['Mikona Productions GmbH & Co. KG', 'Universal Pictures', 'Original Film', 'Ardustry Entertainment']",['United States of America'],76000000,236350661
14,2 Guns,"['Action', 'Comedy', 'Crime']",2013-08-02,['Baltasar Kormákur'],"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Bill Paxton', 'Fred Ward', 'James Marsden', 'Edward James Olmos', 'Robert John Burke', 'Tait Fletcher', 'Ambyr Childers', 'Doris Morgado', 'Evie Thompson', 'Azure Parsons', 'Edgar Arreola', 'Patrick Fischler', 'Christopher Matthew Cook', 'Tim Bell', 'Lindsey G. Smith', 'Greg Sproles', 'Derek Solorsano', 'Kyle Russell Clements', 'John McConnell', 'Jack Landry', 'Ritchie Montgomery', 'Robert Larriviere', 'Lucy Faust', 'George Wilson', 'Yohance Myles', 'Jesus Jr.', 'Samuel Baca-Garcia', 'Michael Beasley', 'Christopher Dempsey', 'Bill Stinchcomb', 'Mark Adam', 'David Kency', 'Gilbert Rosales', 'Peter Gabb', 'Jason Kirkpatrick', 'Tony Sanford', 'Lucky Johnson', 'Lindsey Gort', 'Hillel M. Sharman', 'Aaron Zell', 'Henry Penzi']",6.6,1589,42.881415,109.0,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,"['undercover', 'undercover agent', 'based on comic book', 'money', 'fugitive', 'bank robbery', 'dea agent']",Released,"['Español', 'English']","['Universal Studios', 'Marc Platt Productions', 'Emmett/Furla Films', 'Envision Entertainment Corporation']",['United States of America'],61000000,131940411
15,"20,000 Leagues Under the Sea","['Adventure', 'Drama', 'Science Fiction']",1954-12-23,['Richard Fleischer'],"['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre', 'Robert J. Wilke', 'Ted de Corsia', 'Carleton Young', 'J. M. Kerrigan', 'Percy Helton', 'Ted Cooper', 'Gloria Pall', 'Ron Nyman', 'Fred Graham', 'Harry Harvey', 'Charles Grodin', 'Harper Goff', 'Eddie Marr', 'Jack Gargan', 'John Daheim', 'Jack Stoney']",6.8,157,9.358197,127.0,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.","['diving', 'ocean', 'submarine', 'jules verne', 'captain', 'atlantis', 'deep sea', 'war ship', 'diving suit', 'harpoon', 'ship', 'war', 'scuba diving', 'underwater', 'scuba', 'captain nemo', 'giant  squid']",Released,['English'],['Walt Disney Productions'],['United States of America'],5000000,28200000
16,2001: A Space Odyssey,"['Science Fiction', 'Mystery', 'Adventure']",1968-04-10,['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller', 'Ed Bishop', 'Edwina Carroll', 'Penny Brahms', 'Heather Downham', ""Maggie d'Abo"", 'Chela Matthison', 'Judy Kiern', 'Alan Gifford', 'Ann Gillis', 'Vivian Kubrick', 'Kenneth Kendall', 'Bill Weston', 'Glenn Beck', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Simon Davis', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Tony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'Martin Amor', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Kevin Scott', 'John Swindells', 'Burnell Tucker', 'John Clifford']",7.9,2998,86.201184,149.0,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","['moon', 'jupiter', 'artificial intelligence', 'man vs machine', 'technology', 'super computer', 'human being', 'space travel', 'space mission', 'moon base', 'astronaut', 'evolution', 'monolith', 'space station']",Released,"['English', 'Pусский']","['Stanley Kubrick Productions', 'Metro-Goldwyn-Mayer (MGM)']","['United States of America', 'United Kingdom']",10500000,68700000
17,2046,"['Fantasy', 'Drama', 'Science Fiction', 'Romance']",2004-05-20,['Wong Kar-wai'],"['Tony Leung Chiu-Wai', 'Zhang Ziyi', 'Faye Wong', 'Takuya Kimura', 'Gong Li', 'Carina Lau', 'Siu Ping-Lam', 'Maggie Cheung', 'Dong Jie', 'Bird McIntyre', 'Chang Chen', 'Wong Sam']",6.9,206,12.664787,129.0,"2046 is the sequel to Wong Kar-Wais’ successful box-office hit In The Mood For Love. A film about affairs, ending relationships, and a shared love for Kung-Fu novels as the main character, Chow, writes his own novel and reflects back on his favorite love Su.","['free love', 'hotel', 'lovesickness', 'sexuality', 'kung fu', 'android', 'soulmates', 'based on novel', 'hotel room', 'jealousy', ""love of one's life"", 'restart', 'singapur', 'unsociability', 'secret love', 'murder', 'author', 'hong kong', 'break-up', 'illegal prostitution', 'extramarital affair', 'photographic memory']",Released,"['广州话 / 廣州話', '日本語', '普通话']","['Paradis Films', 'Orly Films', 'Shanghai Film Group Corporation', 'Jet Tone Films']","['Germany', 'Hong Kong', 'China', 'France', 'Italy']",12000000,19271312
18,21,"['Drama', 'Crime']",2008-03-27,['Robert Luketic'],"['Jim Sturgess', 'Kevin Spacey', 'Kate Bosworth', 'Aaron Yoo', 'Liza Lapira', 'Jacob Pitts', 'Laurence Fishburne', 'Jack McGee', 'Josh Gad', 'Sam Golzari', 'Helen Carey', 'Jack Gilpin', 'Ben Campbell']",6.5,1375,45.149948,123.0,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.","['gambling', 'card game', 'professor', 'harvard university', 'cohabitant', 'college', 'girlfriend', 'studies', 'dormitory', 'friendship', 'blackjack']",Released,['English'],"['Columbia Pictures', 'Relativity Media']",['United States of America'],35000000,69823199
19,21 Grams,"['Drama', 'Crime', 'Thriller']",2003-09-06,['Alejandro González Iñárritu'],"['Sean Penn', 'Naomi Watts', 'Benicio del Toro', 'Danny Huston', 'Carly Nahon', 'Claire Pakis', 'Eddie Marsan', 'Melissa Leo', 'Charlotte Gainsbourg', 'Clea DuVall', 'Teresa Delgado', ""Denis O'Hare"", 'John Rubinstein', 'Marc Musso', 'Tony Vaughn', 'Paul Calderon', 'Trent Dee', 'Loyd Keith Salter', 'Carlo Alban', 'Annie Corley', 'Catherine Dent', 'Anastasia Herin', 'Arita Trahan', 'Roberto Medina', 'Tom Irwin', 'Lew Temple', 'Charlie B. Brown']",7.2,918,32.243357,124.0,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.","['life and death', 'transplantation', 'suicide attempt', 'desperation', 'loss of family', 'ex-detainee', 'sadness', 'rage and hate', 'car crash']",Released,['English'],"['This Is That Productions', 'Y Productions', 'Mediana Productions Filmgesellschaft']",['United States of America'],20000000,60427839
20,21 Jump Street,"['Action', 'Comedy', 'Crime']",2012-03-12,"['Phil Lord', 'Christopher Miller']","['Channing Tatum', 'Jonah Hill', 'Brie Larson', 'Dave Franco', 'Ellie Kemper', 'Ice Cube', 'Nick Offerman', 'Rob Riggle', 'Jake Johnson', 'Holly Robinson Peete', 'Johnny Pemberton', 'Caroline Aaron', 'Joe Chrest', 'Dakota Johnson', 'Johnny Simmons', 'Candi Brooks', 'Valerie Tian', 'Johnny Depp', 'Peter DeLuise']",6.7,4074,62.714026,109.0,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.","['male friendship', 'high school', 'parody', 'crude humor', 'based on tv series', 'undercover cop', 'buddy cop', 'buddy comedy', 'duringcreditsstinger']",Released,['English'],"['Columbia Pictures', 'Original Film', 'Stephen J. Cannell Productions', 'Relativity Media', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],42000000,201585328
