title,id,genres,release_date,vote_average,vote_count,popularity,runtime,overview,keywords,tagline,status,spoken_languages,production_companies,production_countries,budget,revenue
Captain America: Civil War,271110,"['Adventure', 'Action', 'Science Fiction']",2016-04-27,7.1,7241,198.372395,147.0,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",Divided We Fall,Released,"['Română', 'English', 'Deutsch', 'Pусский']","['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",['United States of America'],250000000,1153304495
Whiplash,244786,['Drama'],2014-10-10,8.3,4254,192.528841,105.0,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","['jazz', 'obsession', 'conservatory', 'music teacher', 'new york city', 'violence', 'montage', 'drummer', 'public humiliation', 'jazz band', 'young adult', 'music school']",The road to greatness can take you to the edge.,Released,['English'],"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",['United States of America'],3300000,13092000
The Dark Knight,155,"['Drama', 'Action', 'Crime', 'Thriller']",2008-07-16,8.2,12002,187.322927,152.0,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","['dc comics', 'crime fighter', 'secret identity', 'scarecrow', 'sadism', 'chaos', 'gotham city', 'vigilante', 'joker', 'superhero', 'based on comic book', 'tragic hero', 'organized crime', 'criminal mastermind', 'district attorney', 'imax', 'super villain', 'super powers', 'batman']",Why So Serious?,Released,"['English', '普通话']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']","['United Kingdom', 'United States of America']",185000000,1004558444
The Martian,286217,"['Drama', 'Adventure', 'Science Fiction']",2015-09-30,7.6,7268,167.93287,141.0,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.","['based on novel', 'mars', 'nasa', 'isolation', 'botanist', 'stranded', 'spaceship', 'space', 'engineering', 'survival', 'astronaut', 'science', 'deep space explorer', 'duringcreditsstinger', 'battle for survival']",Bring Him Home,Released,"['English', '普通话']","['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films']",['United States of America'],108000000,630161890
Inception,27205,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",2010-07-14,8.1,13752,167.58371,148.0,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","['loss of lover', 'dream', 'kidnapping', 'sleep', 'subconsciousness', 'heist', 'redemption', 'female hero']",Your mind is the scene of the crime.,Released,"['English', '日本語', 'Français']","['Legendary Pictures', 'Warner Bros.', 'Syncopy']","['United Kingdom', 'United States of America']",160000000,825532764
Frozen,109445,"['Animation', 'Adventure', 'Family']",2013-11-27,7.3,5295,165.125366,102.0,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.","['queen', 'musical', 'princess', 'betrayal', 'snowman', 'animation', 'reindeer', 'curse', 'snow', 'troll', 'mountain climber', 'aftercreditsstinger', 'woman director', '3d']",Only the act of true love will thaw a frozen heart.,Released,['English'],"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],150000000,1274219009
Avatar,19995,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2009-12-10,7.2,11800,150.437577,162.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",Enter the World of Pandora.,Released,"['English', 'Español']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']","['United States of America', 'United Kingdom']",237000000,2787965087
Fight Club,550,['Drama'],1999-10-15,8.3,9413,146.757391,139.0,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","['support group', 'dual identity', 'nihilism', 'rage and hate', 'insomnia', 'dystopia', 'violence']",Mischief. Mayhem. Soap.,Released,['English'],"['Regency Enterprises', 'Fox 2000 Pictures', 'Taurus Film', 'Linson Films', 'Atman Entertainment', 'Knickerbocker Films']","['Germany', 'United States of America']",63000000,100853753
Pirates of the Caribbean: Dead Man's Chest,58,"['Adventure', 'Fantasy', 'Action']",2006-06-20,7.0,5246,145.847379,151.0,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",Jack is back!,Released,"['English', 'Türkçe', 'ελληνικά', '普通话']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",200000000,1065659812
The Imitation Game,205596,"['History', 'Drama', 'Thriller', 'War']",2014-11-14,8.0,5723,145.364591,113.0,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.","['gay', 'england', 'world war ii', 'mathematician', 'biography', 'logician', 'cryptography']",The true enigma was the man who cracked the code.,Released,['English'],"['Black Bear Pictures', 'Bristol Automotive']",['United Kingdom'],14000000,233555708
The Avengers,24428,"['Science Fiction', 'Action', 'Adventure']",2012-04-25,7.4,11776,144.448633,143.0,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",Some assembly required.,Released,['English'],"['Paramount Pictures', 'Marvel Studios']",['United States of America'],220000000,1519557910
The Godfather,238,"['Drama', 'Crime']",1972-03-14,8.4,5893,143.659698,175.0,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","['italy', 'love at first sight', 'loss of father', 'patriarch', 'organized crime', 'mafia', 'lawyer', 'italian american', 'crime family', 'rise to power', 'mob boss', '1940s']",An offer you can't refuse.,Released,"['English', 'Italiano', 'Latin']","['Paramount Pictures', 'Alfran Productions']",['United States of America'],6000000,245066411
Gone Girl,210577,"['Mystery', 'Thriller', 'Drama']",2014-10-01,7.9,5862,143.041543,145.0,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","['based on novel', 'marriage crisis', 'disappearance', 'cheating husband', 'missing person', 'search party', 'criminal lawyer', 'wife murder', 'murder suspect', 'missing wife']",You don't know what you've got 'til it's...,Released,['English'],"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'New Regency Pictures', 'Pacific Standard', 'TSG Entertainment', 'Artemple - Hollywood']",['United States of America'],61000000,369330363
Fury,228150,"['War', 'Drama', 'Action']",2014-10-15,7.4,3946,139.575085,135.0,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.","['world war ii', 'nazis', 'war', 'nazi germany', 'panzer', 'tank']",War never ends quietly.,Released,['English'],"['Columbia Pictures', 'QED International', 'Crave Films', 'LStar Capital', 'Huayi Brothers Media', 'Le Grisbi Productions']","['United Kingdom', 'United States of America', 'China']",68000000,211817906
X-Men: Apocalypse,246655,['Science Fiction'],2016-05-18,6.4,4721,139.272042,144.0,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.","['mutant', 'supernatural powers', 'marvel comic', 'superhero', 'based on comic book', 'superhuman', 'apocalypse', 'superhero team', 'world domination', 'aftercreditsstinger', '1980s']",Only the strong will survive,Released,['English'],"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Kinberg Genre']",['United States of America'],178000000,543934787
Pirates of the Caribbean: At World's End,285,"['Adventure', 'Fantasy', 'Action']",2007-05-19,6.9,4500,139.082615,169.0,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","At the end of the world, the adventure begins.",Released,['English'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['United States of America'],300000000,961000000
Rise of the Planet of the Apes,61791,"['Thriller', 'Action', 'Drama', 'Science Fiction']",2011-08-03,7.0,4347,138.433168,105.0,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.","['intelligence', 'zoo', 'cage', 'dystopia', 'golden gate bridge', 'ape', 'monkey', 'medical research', ""alzheimer's disease""]",Evolution Becomes Revolution.,Released,['English'],"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Dune Entertainment III', 'Chernin Entertainment', 'Big Screen Productions']",['United States of America'],93000000,482860185
Forrest Gump,13,"['Comedy', 'Drama', 'Romance']",1994-07-06,8.2,7927,138.133331,142.0,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'family relationships', 'bully', 'mother son relationship', 'military', 'hugging', 'shrimping', 'wounded soldier', 'flashback', 'park bench', 'amputee']","The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Released,['English'],['Paramount Pictures'],['United States of America'],55000000,677945399
The Lord of the Rings: The Fellowship of the Ring,120,"['Adventure', 'Fantasy', 'Action']",2001-12-18,8.0,8705,138.049577,178.0,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","['elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel', 'mountains', 'fireworks', 'castle', 'volcano', 'password', 'death of a friend', 'uncle', 'mirror', 'wizard', 'sword and sorcery']",One ring to rule them all,Released,['English'],"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",93000000,871368364
Despicable Me 2,93456,"['Animation', 'Comedy', 'Family']",2013-06-25,7.0,4637,136.886704,98.0,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,"['secret agent', 'bakery', 'falling in love', 'father daughter relationship', 'duringcreditsstinger', 'first date', 'minions', '3d']",Back 2 Work,Released,['English'],"['Universal Pictures', 'Illumination Entertainment']",['United States of America'],76000000,970761885
The Shawshank Redemption,278,"['Drama', 'Crime']",1994-09-23,8.5,8205,136.747729,142.0,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","['prison', 'corruption', 'police brutality', 'prison cell', 'delinquent', 'parole board', 'escape from prison', 'wrongful imprisonment', 'framed for murder', '1940s']",Fear can hold you prisoner. Hope can set you free.,Released,['English'],['Castle Rock Entertainment'],['United States of America'],25000000,28341469
Pirates of the Caribbean: On Stranger Tides,1865,"['Adventure', 'Action', 'Fantasy']",2011-05-14,6.4,4948,135.413856,136.0,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']",Live Forever Or Die Trying.,Released,"['English', 'Español']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['United States of America'],380000000,1045713802
Avengers: Age of Ultron,99861,"['Action', 'Adventure', 'Science Fiction']",2015-04-22,7.3,6767,134.279229,141.0,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",A New Age Has Come.,Released,['English'],"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America'],280000000,1405403694
Harry Potter and the Chamber of Secrets,672,"['Adventure', 'Fantasy', 'Family']",2002-11-13,7.4,5815,132.397737,161.0,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.","['flying car', 'witch', 'magic', 'cutting the cord', 'child hero', 'broom', ""sorcerer's apprentice"", 'school of witchcraft', 'giant snake', 'black magic', 'aftercreditsstinger']",Hogwarts is back in session.,Released,['English'],"['1492 Pictures', 'Heyday films', 'Warner Bros.']","['Germany', 'United Kingdom', 'United States of America']",100000000,876688482
The Maze Runner,198663,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",2014-09-10,7.0,5371,131.815575,113.0,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","['based on novel', 'maze', 'post-apocalyptic', 'dystopia', 'escape', 'memory loss', 'erased memory', 'trapped', 'dystopic future', 'runner', 'based on young adult novel']",Run - Remember - Survive,Released,['English'],"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Gotham Group', 'Dayday Films', 'Temple Hill Entertainment', 'TSG Entertainment']",['United States of America'],34000000,348319861
Tomorrowland,158852,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",2015-05-19,6.2,2846,130.311355,130.0,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""","['inventor', 'apocalypse', 'destiny', 'imax', 'dreamer', 'futuristic car', 'futuristic city']",Imagine a world where nothing is impossible.,Released,['English'],"['Walt Disney Pictures', 'Babieka', 'A113']",['United States of America'],190000000,209154322
Inside Out,150540,"['Drama', 'Comedy', 'Animation', 'Family']",2015-06-09,8.0,6560,128.655964,94.0,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","['dream', 'cartoon', 'imaginary friend', 'animation', 'family', 'moving', 'kids', 'unicorn', 'duringcreditsstinger', '3d', 'emotions']",Meet the little voices inside your head.,Released,['English'],"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],175000000,857611174
One Flew Over the Cuckoo's Nest,510,['Drama'],1975-11-18,8.2,2919,127.525581,133.0,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.","['individual', 'rebel', 'self-destruction', 'wheelchair', 'lunatic asylum', 'dying and death', 'rage and hate', 'freedom', 'insanity', 'basic rights and human rights', 'psychiatrist']","If he's crazy, what does that make you?",Released,['English'],"['United Artists', 'Fantasy Films', 'Warner Bros.']",['United States of America'],3000000,108981275
The Hunger Games: Mockingjay - Part 2,131634,"['Action', 'Adventure', 'Science Fiction']",2015-11-18,6.6,3984,127.284427,137.0,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.","['revolution', 'strong woman', 'dystopia', 'game of death', '3d', 'based on young adult novel']",The fire will burn forever.,Released,['English'],"['Studio Babelsberg', 'Lionsgate', 'Color Force']","['Germany', 'United States of America']",160000000,653428261
Star Wars,11,"['Adventure', 'Action', 'Science Fiction']",1977-05-25,8.1,6624,126.393695,121.0,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"['android', 'galaxy', 'hermit', 'death star', 'lightsaber', 'jedi', 'rescue mission', 'empire', 'rebellion', 'planet', 'smuggler', 'the force', 'space opera', 'galactic war', 'stormtrooper', 'totalitarianism']","A long time ago in a galaxy far, far away...",Released,['English'],"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",['United States of America'],11000000,775398007
Brave,62177,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",2012-06-21,6.7,4641,125.114374,93.0,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebellious daughter', 'turns into animal', 'archery', 'ruins', 'aftercreditsstinger', 'peace offering', 'woman director', 'courage', '3d']",Change your fate.,Released,['English'],"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],185000000,538983207
The Lord of the Rings: The Return of the King,122,"['Adventure', 'Fantasy', 'Action']",2003-12-01,8.1,8064,123.630332,201.0,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.","['elves', 'orcs', 'middle-earth (tolkien)', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest', 'sword and sorcery']",The eye of the enemy is moving.,Released,['English'],"['WingNut Films', 'New Line Cinema']","['New Zealand', 'United States of America']",94000000,1118888979
